SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
d	40649598	4011461	622 Lugano Court	Brentwood	CA	94513	37.9188652	-121.7073746	SFR	569900	565000	4	3	2971	(null)	7337	In Ground	"3 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"220 Volt Outlet, In Laundry Room"	2001	2	Y	"Court, Level, Regular"	Traditional	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Hardwood Floors, Vinyl, Wall to Wall Carpet"	(null)	"Security Alarm System - Owned, Window Coverings"	1	0	0	0	60	"Open Sunday 1-4! Beautiful home in pristine condition. Court location just two blocks from the park. Private yard with pool, hot tub & fireplace. This home features 4 bedrooms, 3 full baths, loft & a 3 car garage. Hardwood floors, Plantation shutters and so much more. Over $100k in upgrades!"
d	40667380	3883504	4478 Irvington Ave	Fremont	CA	94538	37.53178798	-121.9685009	SFR	749000	820000	3	2	1318	Composition Shingles	7898	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"220 Volt Outlet, In Garage"	1960	1	Y	Corner	Ranch	Forced Air 1 Zone	(null)	Stucco	"Hardwood Floors, Marble/Stone, Slate, Tile"	(null)	Mirrored Closet Door(s)	0	0	0	0	33	"Beautiful Irvington home. 3 bd, 2ba~ Walking distance to schools~new int paint~newly remodeled master ba w new shower, cabinets & vanity~new front lawn & sprinkler sys~dbl paned wind. thru out~remodeled kit w granite top & marble flr~updated hall ba w. marble flr~fruits trees~ O/H Sat & Sun 1-5pm"
b	423564	10609657	2715 40th Ave	SF - Outer Parkside	CA	94116	37.736107	-122.498016	SFR	699000	820000	2	1	1012	(null)	1746	(null)	"2 Garage Spaces, Garage, Paved Driveway"	Ocean	Washer/Dryer	1948	(null)	Y	(null)	(null)	Central Heat	(null)	Stucco	(null)	(null)	(null)	0	0	0	0	32	"Adorable view home w/charming curb appeal in the desirable Outer-Parkside . Spacious living rm has classic wood burning FP w/tasteful European style mantel & solid Oak floors. Elegant dng rm offers period molding & custom wall cut-out! Eat-in kitchen is filled w/natural light boasting high end SS appliances, granite counters w/backsplash, lots of cabinets & counter space! There are 2 BR's & 1 full BA w/separate tub & stall shower. 1 BR overlooks the tranquil garden & enjoys Ocean/Greenbelt views! Spotless 2 car garage offers lots of cabinets, work bench, & room to expand! Tranquil garden retreat is a great place to read a book or enjoy a morning cup of coffee. Close to Ocean Beach, Zoo, Lake Merced & great schools. Easy downtown commute!"
d	40665321	4275267	601 Banks Dr	Richmond	CA	94806	37.98848724	-122.355629	SFR	250000	254000	3	2	1120	(null)	5000	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	In Garage	1990	1	Y	Level	Traditional	Forced Air 1 Zone	(null)	Stucco	"Laminate, Tile"	(null)	(null)	0	0	0	0	35	"Gorgeous 1990 Built Home , 3 bed/ 2 bath ,Full size 2 Car garage,Granite Counters ,Pantry ,Laminate flooring , Remodeled Bath , Central Heating , All appliances included , Separate dinning area ,Fenced Yard , Close to shopping and Public transport . Regular sale , A must see !!!"
c	21414170	11808067	5099 Moss Creek Way	Fairfield	CA	94534	38.22467041	-122.1434174	SFR	450000	430000	4	2.5	2023	Tile	3206	"Community Facility, Community Pool"	"2 Car, Attached"	(null)	"Dryer Included, In Laundry Room, Washer Included"	2002	2	Y	Level	Contemporary	Central Heat	Central Air	Stucco	"Laminate, Vinyl/Linoleum, Wall-to-Wall Carpet"	170	"Smoke Alarm(s), Internet Available, PG&E"	1	0	0	0	71	"Beautiful home in Green Valley Lake subdivision, partially remodeled, newly painted walls, new carpet, new flooring, new bathrooms features, Kitchen comes with custom cabinets and major appliances, low maintenance backyard. Access to community recreational facilities including lake, clubhouse, pool, playground, tennis courts & trails. Truly a must see!! !Won't Last!"
c	21412677	(null)	Address Withheld By Seller	Suisun City	CA	94585	0	0	SFR	355000	376000	4	3	2970	(null)	7309	(null)	(null)	(null)	"Hookups Only, In Laundry Room"	2001	2	Y	Level	(null)	Central Heat	Central Air	Stucco	(null)	(null)	PG&E	0	0	0	0	36	"Lawler Ranch Beauty! Large 4 bedroom 3 bath home. Full bed and bath downstairs,with huge master suite and bathroom upstairs, with loft/bonus room. Wont last long come fast and take a look at this amazing home. Near parks, Schools,and shopping!"
b	419401	10695383	619 29th St	SF - Noe Valley	CA	94131	37.7430191	-122.4338379	SFR	1998000	2420000	4	3	(null)	(null)	(null)	(null)	"1 Garage Space, Attached, Garage, Automatic Door, Interior Access"	"Panoramic, City Lights, Bay, San Francisco"	"Laundry Room, Washer/Dryer, In Laundry Room, In Closet"	(null)	(null)	(null)	(null)	Victorian	(null)	(null)	(null)	Hardwood	(null)	(null)	0	0	0	0	28	"Beautifully remodeled 3-level Noe Valley home with panoramic views! This home combines classic architectural details with a tasteful remodel to produce a lovely, warm and inviting interior. An impressive master-suite on the upper level enjoys sweeping views, an en-suite bath, skylights, and walk-out deck. The main floor offers a comfortable family room, formal dining room, remodeled kitchen that leads to an outdoor deck, a handsome bedroom, and full bath. Downstairs are two more spacious bedrooms and a tranquil landscaped yard with mature trees. Enjoy the best of Noe Valley!"
c	21414473	12046875	933 Crest Dr	Santa Rosa	CA	95404	38.4627037	-122.7107163	SFR	520000	510000	3	2	1560	Composition	6970	(null)	"2 Car, Garage, Attached, Auto Door"	City	"Dryer Included, In Laundry Room, Washer Included"	1955	1	Y	Upslope	Traditional	"Central Heat, Natural Gas"	3+ Window Units	Stucco	Hardwood	(null)	"Security Alarm(s), Smoke Alarm(s), Cable TV available, Gas Water Heater, Internet Available, Natural Gas, PG&E"	0	0	0	0	38	"Views, character, comfort, and charm a must see home. Enjoy sitting under the majestic oak. Entertain in the large open living space. Hardwood floors, large picture windows, well cared for home with 2 fireplaces, stainless steel appliances, garage with workshop, large patio. Front deck with views of the 4th of July Fireworks, sunsets, and the city lights. Walk to parks, shops, and restaurants. Close to Kaiser, Sutter, SRJC, easy access to 101."
c	21409735	12035269	69 Brianne Cir	Windsor	CA	95492	38.53922272	-122.7918091	SFR	434900	427500	4	3	1963	(null)	6970	(null)	"3 Car, Attached"	(null)	Hookups Only	1993	2	Y	Level	Spanish/Mediterranean	Central Heat	(null)	Stucco	(null)	(null)	"City Utilities, PG&E"	0	0	0	0	41	"Location, Location, Location!!! 4 Bedroom/3 Bath 1,963 sq. ft. home in need of TLC."
d	40658238	4174828	161 Twin Peaks Dr	Walnut Creek	CA	94595	37.88824081	-122.0644913	SFR	1425000	1390700	4	3	4401	Tile	50965	(null)	"4 Garage Spaces, Attached Garage, Garage Door Opener"	"Hills, Mt Diablo"	In Laundry Room	1997	2	Y	"Downslope, Premium Lot"	Mediterranean	Forced Air 2 Zones	Central 2 or more Zones A/C	Stucco	"Hardwood Floors, Marble/Stone, Slate, Tile"	(null)	(null)	0	0	0	0	52	"Spectacular Views~ Distinctive Custom, Rich in Style with dramatic open floor plan. Beautifully finished, warm hardwood, custom tile and stone, walls of glass & verandas, very private. True Chefs kitchen, spacious master and private office on main level. Ideal for entertaining, not to be missed!"
d	40663515	3923922	3121 Tonopah Ct	Pleasanton	CA	94588	37.68937714	-121.8806666	TOWNHOUSE	499000	515000	4	2.5	1474	Composition Shingles	1027	(null)	2 Or More Carports	(null)	"220 Volt Outlet, In Laundry Room"	1978	2	(null)	"Level, Regular"	Traditional	"Forced Air 1 Zone, Gas"	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Laminate, Linoleum, Tile, Wall to Wall Carpet"	239	"Mirrored Closet Door(s), Window Coverings"	0	0	0	0	27	"Outstanding 4-BR 2.5-BA townhome value! New paint & re-textured ceilings throughout, crown molding, berber carpeted & wood laminate flooring, updated kitchen w/ granite c'tops, french doors open to private patio, inside laundry, ceiling fans, tool shed, 2-car carport, wide greenbelts, playground."
a	81417756	11587794	3376 Shadow Leaf Drive	San Jose - North Valley	CA	95132	37.4028244	-121.8459625	SFR	759000	768000	4	2.5	1835	Tile	3485	(null)	"Attached, 2 Car Garage"	Mountains	(null)	1988	(null)	Y	(null)	(null)	Central Forced Air	(null)	(null)	"Laminate, Wall to Wall Carpet, Marble"	46	(null)	0	0	0	0	37	"Beautiful house in quiet and safe foothills neighborhood, hills view and well maintained. 4 beds model from builder and office could converted into 4th bed room. High ceiling, Marble floor in kitchen and family room, new paint and new lawn, close to shops and high ways 680/880/101. Good schools, Walking to Piedmont Hills High."
c	21407366	(null)	14006 Fern Rd	Guerneville	CA	95446	38.5033	-123.005569	SFR	429900	424950	3	2	2004	(null)	4643	(null)	(null)	(null)	Hookups Only	1928	2	Y	Upslope	Contemporary	"Stove Heater(s), Wood Burning"	(null)	Wood Siding	(null)	(null)	PG&E	0	0	0	0	114	"Stunningly remodeled DUPLEX. A redwood retreat. Not in Flood. Near Downtown Guerneville. Mere seconds by car to downtown Guerneville's restaurants, bars and Johnson's Beach. Lots of room and flexable living. Live and/or rent. Ultimate in function and flexibility. Large storage area downstairs too."
b	421900	81444191	850 Minnesota St #258	SF - Central Waterfront	CA	94107	37.759782	-122.390395	CONDO	710000	770000	1	1.5	835	(null)	(null)	(null)	"1 Garage Space, Interior Access, Assigned"	(null)	In Closet	2009	(null)	(null)	(null)	(null)	Radiant	(null)	(null)	"Partial Carpet, Partial Hardwood, Tile"	431	(null)	0	0	0	0	42	"Esprit Park condo in Historic Dogpatch! Very special 1BR, 1.5BA condo w patio. Easy access to unit from entry. Modern finishes & upgrades. Kitchen with stainless steel appliances, granite counter tops, upgraded Heath ceramics tile backsplash. Custom built butcher block island with storage. *Special Bonus* A vintage Elektra commercial espresso machine included in sale! Living room opens to patio. Upgraded LR blinds. large bedroom w ample closet. Tiled Baths. Upgraded shutters in bedroom & baths. Radiant heat. Newer blinds in LR. Nest thermostat. In unit laundry. Storage. 1 car. Amenities: courtyard, reflection pool, gym, theater, onsite mgr. Steps to trendy Dogpatch cafes, restaurants, shops! Caltrain, Muni nearby! Stunning!"
b	420833	10563805	425 Spruce St	SF - Presidio Heights	CA	94118	37.787104	-122.453543	CONDO	1250000	1270000	3	2	1600	(null)	(null)	(null)	1 Garage Space	(null)	(null)	1906	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	300	(null)	0	0	0	0	28	"Spacious 3BR/2BA top floor Presidio Heights condo in an elegant 3 unit, Edwardian building. This home will immediately brighten your mood with its abundance of natural light. The living room is open to the dining room, which has a working, wood-burning fireplace. The kitchen has plenty of counter top space and kitchen cabinetry for the most avid chef's and includes an eat-in breakfast nook. Other amenities include: Hardwood floors, many period Edwardian details throughout, washer/dryer in unit, the bedrooms enjoy a view of the lush shared rear yard. The condo comes with lots of extra storage space and leased parking across the street."
a	81417229	11073666	2965 Fair Oaks Avenue	Redwood City	CA	94063	37.47974777	-122.204422	SFR	549000	510000	2	1	950	Shingle	5850	(null)	1 Car Garage	Neighborhood	(null)	1952	(null)	Y	(null)	Ranch	Wall Furnace	(null)	Wood	"Tile, Laminate, Linoleum or Vinyl"	(null)	(null)	0	0	0	0	45	"Great Starter home in move in condition ,2 Bedroom 1 bath,Large back yard, close to vibrant Downtown Redwood City."
a	81409620	11551688	14599 Deer Spring Court	Saratoga	CA	95070	37.25787735	-122.047821	SFR	4500000	4135000	5	6	6200	(null)	46609	Pool	"Detached, Gate/Door Opener, Guest Parking, Off Street Parking, 3 Car Garage"	"Mountains, Canyon, Valley"	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1991	(null)	Y	Cul-de-sac	French	"Two or More Heating Zones, Radiant, Natural Gas, Central Forced Air"	Central Air	Brick	(null)	(null)	"Security Fence, Window Covering(s), Double Pane Window(s), Central Vacuum, Cable TV Available, Skylight(s)"	1	0	0	0	132	Called the Temple of Mount Eden Valley by those who have been inside! This is where Harmony meets Tranquility. Incredible floor plan with beautiful formal Italian tile entry equipped with radiant heat. Soothing sweeping architectural lines lead you to the oversized dining room and chef's kitchen. 5 generous bedroom suites. 1 mile from the Village on top of a hill. Super quiet and Private.
a	81425357	3887318	3527 Fitzsimmons Common	Fremont	CA	94538	37.545929	-121.973404	TOWNHOUSE	615000	626000	2	2.5	1309	Tile	1084	Community Pool	"Attached, Gate/Door Opener, Guest Parking, 2 Car Garage"	Neighborhood	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1997	(null)	Y	(null)	Contemporary	Central Forced Air	Central Air	(null)	"Tile, Wall to Wall Carpet, Hardwood"	200	"Security Alarm - Owned, Window Covering(s), Double Pane Window(s), Balcony or Patio, Cable TV Available, Skylight(s)"	1	0	0	0	42	"Gorgeous modern Shapell townhouse in prime location! 2 car garage with large storage/utility space, dining room, hardwood floors, premium carpeting, tile entry & baths, AC, double pane windows, new refrigerator & dishwasher, spacious balcony for entertaining, community pool. Close to 680/880, BART, Library, Lake Elizabeth, Hospital, Shopping, Restaurants OH Sat 6/19 1-4 & Sun 6/20 1:30-4:30"
c	21409475	7043270	214 Sausalito St	Corte Madera	CA	94925	37.92464066	-122.5221024	SFR	779000	765000	2	1	884	Composition	3999	(null)	1 Car	Hills	"220 Volt Wiring, Dryer Included, In Garage, Washer Included"	1944	2	Y	Level	Cottage	Central Heat	(null)	Wood Siding	"Hardwood, Vinyl/Linoleum"	(null)	"Greenhouse Window(s), Skylight(s), Internet Available, PG&E"	0	0	0	0	82	"Beautiful, move-in-ready home in highly desirable Chapman park. Hardwood floors, spacious kitchen with granite counters and stainless appliances. Spacious dining area with large greenhouse window & skylt. Living room with fireplace and large skylt. Updated bathroom, dual panes, garage with extra studio space. Off street parking. Fabulous backyard with landscaped pathways, sunning patio, vegetable beds and bbq area. Yard statues don't convey."
c	21401472	7083177	1145 Bel Marin Keys Blvd	Novato	CA	94949	38.08309174	-122.5096436	SFR	799999	780000	3	2	1708	(null)	9919	(null)	2 Car	Hills	"Dryer Included, In Garage, Washer Included"	1980	1	Y	"Level, Private"	Contemporary	Central Heat	(null)	Wood Siding	"Tile, Wall-to-Wall Carpet"	80	"Cathedral Ceiling, Skylight(s), Window Coverings, PG&E"	0	0	0	0	137	"Paradise awaits you! Pride of ownership abounds in this extensively upgraded single story home located in idyllic Bel Marin Keys. Serene private yard with koi pond leads to acres of open land, park and deep water boat dock with direct access to San Pablo Bay. Kitchen with granite counters, stainless appliances, pantry, spice cabinet and pull outs. Updated baths offer a spa feel. Living room with fireplace and cathedral ceiling."
d	40656879	3675099	1640 Walnut St #c	Berkeley	CA	94709	37.8770256	-122.2678223	CONDO	385000	458000	1	1	694	Composition Shingles	(null)	(null)	Off Street Parking	Bay	"Dryer, In Closet, In Unit, Washer"	1908	1	(null)	Level	Traditional	Wall Furnace	(null)	Wood Siding	"Hardwood Floors, Tile, Wall to Wall Carpet"	145	(null)	0	0	0	0	20	"Delightful Gourmet Ghetto condo! Sunny top floor 1 bedroom condo in a classic American Foursquare. Remodeled kitchen, new paint & carpet, sunny separate dining and living rooms. Steps to CAL, shops, restaurants, community garden and more! Even a bit of a view."
c	21412755	11940568	4031 Louis Krohn Dr	Santa Rosa	CA	95407	38.42688674	-122.7651371	SFR	439950	421000	4	3	2052	Composition	3228	(null)	"2 Car, Garage, Attached"	"Mountains, Pasture"	In Laundry Room	2000	2	(null)	"Level, City"	Traditional	Central Heat	Central Air	Wood Siding	"Part Carpet, Tile"	52	"Smoke Alarm(s), City Utilities"	0	0	0	0	48	"Immaculately maintained home offers 2,052 sf,4 bd/2.5 ba, gracious designer touches; granite counter tops, dramatic marble and glass tiled backsplash, all new quality stainless steel appliances, gas range, stainless steel sink, huge eating area w/French door to rear patio, two zone air conditioning ,new toilets, exterior was freshly painted last year, retractable screens on doors, new window screens, laundry room located upstairs."
c	21408391	11937317	1724 Oldfield Way	Santa Rosa	CA	95401	38.43261337	-122.7455978	CONDO	239000	250500	2	1.5	998	(null)	871	"Community Facility, Community Pool"	"1 Car, Garage, Detached"	(null)	"Dryer Included, Washer Included"	1984	2	(null)	Regular	Traditional	Central Heat	(null)	Wood Siding	"Laminate, Part Carpet"	390	"Smoke Alarm(s), Cable TV available, PG&E"	0	0	0	0	36	"Nicely updated. Wood laminate floors, new carpet, new kitchen cabinets, counters and appliances. New window blinds. Laundry closet upstairs, flagstone patio, one car detached garage. Newer furnace & hot water heater. Move-in ready. Very clean complex includes: 1 adult and 1 children's swimming pool. Conveniently located close to shopping (Oliver's Market) and commuting."
d	40662362	4225281	1910 Nancy Ln	San Ramon	CA	94582	37.766865	-121.906761	CONDO	529000	529000	2	2	1211	Tile	(null)	"Community Facility, Pool"	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	In Laundry Room	2004	2	Y	Level	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	"Stucco, Wood Siding"	"Tile, Wall to Wall Carpet"	215	(null)	0	0	0	0	44	"Desirable move-in ready condo. Spacious floorplan,lrg kitchen,family & dining areas. High ceilings, built-in speakers, gas fireplace, in-unit laundry, 2 car grge, comm pool & top rated schools. Near walking trails & shopping. Great location in neighborhood!! Great price, check comps!!"
a	81412957	10981424	607 Farallon Avenue	Pacifica	CA	94044	37.65181732	-122.4825058	SFR	899000	1100000	4	3.5	2974	Composition	4600	(null)	"Attached, 2 Car Garage"	"Mountains, Neighborhood, Ocean"	Laundry Area - Inside	1982	(null)	Y	(null)	Contemporary	Central Forced Air	No Cooling	"Vinyl, Stucco"	"Wall to Wall Carpet, Hardwood"	(null)	(null)	0	0	0	0	35	Breathtaking panoramic ocean views. 4 or 5 bedrooms 3 & 1/2 bathrooms with a gorgeous bright open floor plan. Large gourmet kitchen that opens to living room and dining room with with multiple decks for entertaining where you can watch the whales swim by. Astounding view master suite with office. Custom built gym and sauna! Make this ocean view dream home all yours...Minutes from sf & the beach!
